SMMPr_1,SMMPr_2,SMMPr_3,HiOs_1,HiOs_2,HiOs_3,SMM_1,SMM_2,SMM_3,Salt_1,Salt_2,Salt_3
BSU01140,9.6288,9.8208,9.9429,10.4107,10.2416,10.3916,10.2398,9.995,10.0396,10.7491,10.7431,10.8604
new_135170_135363,16.3311,16.369,16.3772,16.306,16.1249,16.2404,16.428,16.4513,16.4703,16.4318,16.2028,16.3115
BSU01150,16.3952,16.2683,16.4118,16.1939,15.8805,16.1232,16.4486,16.4734,16.4634,16.078,16.083,16.2674
BSU01160,15.6524,16.0376,15.6993,15.4135,15.3442,15.6462,15.9926,16.1707,16.0247,15.5002,15.5098,15.5777
BSU01170,16.4466,16.3383,16.4436,16.4474,16.0776,16.0363,16.4581,16.4197,16.4638,16.3045,16.2138,16.4327
BSU01180,16.4108,16.3882,16.4408,16.2965,15.7384,16.1899,16.2439,16.4358,16.4663,16.2769,15.6869,16.3986
BSU01190,16.4873,16.46,16.4655,16.3596,16.2187,16.4282,16.4179,16.481,16.4849,16.3417,16.2101,16.4468
BSU01200,16.4351,16.2848,16.4426,16.2122,16.1838,16.2397,16.3111,16.4354,16.4519,16.3806,16.0221,16.0613
BSU01210,16.0967,16.0771,16.0759,15.8843,15.4547,15.8295,16.0975,16.3934,16.3652,15.645,15.359,15.643
BSU01220,15.9232,15.9002,16.011,15.6191,15.4368,15.6234,16.1334,16.3201,16.3327,15.5031,15.2489,15.5495
BSU01230,15.8478,15.8031,15.7892,15.5687,15.3327,15.5594,16.0394,16.2339,16.2494,15.4743,15.3647,15.4893
BSU01240,16.0183,16.2843,16.3623,15.5501,15.5184,15.5846,16.2296,16.09,16.3588,15.5002,15.3922,15.5512
BSU01250,16.3171,16.278,16.4161,16.1083,15.5651,15.8805,16.1202,16.1965,16.4176,15.7497,15.6237,15.8286
BSU01260,15.941,16.2294,16.0718,15.7146,15.5198,15.819,16.1103,16.2777,16.3584,15.5204,15.5917,15.6531
BSU01270,16.1185,16.2719,15.8453,15.6514,15.4331,15.6441,16.0915,16.2482,16.3589,15.5758,15.5662,15.6126
BSU01280,15.6381,15.6318,15.8094,15.5967,15.2459,15.3742,15.9252,16.1475,16.1368,15.3185,15.1101,15.3601
BSU01290,15.7949,15.9709,16.1278,15.5957,15.3369,15.5422,16.257,16.3325,16.2207,15.3409,15.4383,15.4227
BSU01300,16.1898,16.4091,16.019,15.8217,15.7841,16.075,16.1612,16.4338,16.4161,15.7011,15.5816,15.6616
BSU01310,15.7268,16.1221,16.1272,15.4562,15.2937,15.5465,15.9957,16.2499,15.9952,15.3978,15.0935,15.3926
BSU01320,15.8207,16.0547,16.1114,15.4499,15.3453,15.5396,15.998,16.0599,15.9836,15.5196,15.1731,15.6229
BSU01330,15.7793,15.8268,16.2508,15.5712,15.3574,15.612,16.2217,16.4141,16.3411,15.487,15.3933,15.5684
BSU01340,16.2276,15.8797,16.3486,15.9216,15.6194,15.7539,16.3721,16.4613,16.3202,15.759,15.658,15.7605
BSU01350,15.526,15.6911,16.0185,15.4819,15.3028,15.4354,16.2342,15.8107,16.2323,15.2959,15.285,15.4922
BSU01360,15.4752,15.6131,15.6699,15.3338,15.1276,15.3908,15.9467,15.8175,15.8593,15.3624,15.1105,15.4291
BSU01370,15.8668,15.8456,15.9819,15.5556,15.3181,15.6213,16.2069,16.0978,15.9527,15.5325,15.469,15.5916
BSU01380,15.6102,15.6253,15.5297,15.2165,14.9868,15.2826,15.8599,15.6234,15.6817,15.2584,14.9612,15.3472
BSU01389,16.0132,16.3526,16.4006,16.2347,15.9053,15.9374,16.4261,16.3444,16.42,16.0847,15.909,16.1579
BSU01390,15.9526,16.2592,16.4115,15.6537,15.4806,15.7468,16.3842,15.874,16.1758,15.7246,15.7455,15.8061
BSU01400,15.9104,16.137,16.2881,15.7389,15.3932,15.6553,16.3154,16.0623,16.2985,15.8014,15.5924,15.8399
BSU01410,16.2371,16.3338,16.3723,16.0002,15.8615,15.9861,16.3064,16.1304,16.449,16.0788,16.1249,15.9393
BSU01420,15.7818,15.934,16.0518,15.6126,15.5926,15.7539,16.1727,16.352,16.0937,15.7853,15.4695,15.7717
new_148755_148930,15.6506,15.9253,16.185,15.462,15.448,15.5847,16.2957,15.9621,16.0915,15.6233,15.5391,15.8721
BSU01430,16.0793,16.1223,16.1951,15.4698,15.5082,15.5273,16.2963,16.3191,16.2259,15.7249,15.6652,15.7427
BSU01440,16.2079,16.2765,16.3643,15.5171,15.7673,15.5462,16.3636,16.3197,16.415,16.0164,15.7286,15.8343
new_150362_150442,12.6095,12.3317,12.3628,13.14,12.8372,12.7227,13.4052,13.1302,13.0158,12.9648,13.1379,13.406
